episode,global_step,scene,length,return,success,collision,goal_distance,replay_size,curriculum_phase,initial_state_phase,initial_state_name,rl_gate_alpha_mean,distance_gate_alpha_mean,intrinsic_exploration_return,replay_labeled_transitions,cross_track_rmse,precision_constraint_cost_mean_square,precision_constraint_target_mean_square,precision_constraint_violation,precision_constraint_multiplier_before,precision_constraint_multiplier,precision_constraint_feasible,covariance_scale_0_mean,covariance_scale_0_std,covariance_scale_1_mean,covariance_scale_1_std
52,13449,high_dynamic_sweep_l56__long_delay_seen,162,98.20776378946779,True,False,0.22334424518284973,13449,uniform,disabled,configured_initial,1.0,1.0,0.0,162,0.10352640426096646,0.010717716379205053,0.0016,0.009117716379205052,0.0,0.0,False,1.0,0.0,1.0,0.0
53,13671,high_dynamic_accel_turn_l56__high_mass_seen,222,92.30817079393567,True,False,0.24941708332819898,13671,uniform,disabled,configured_initial,1.0,1.0,0.0,222,0.19343571900573261,0.03741737738726475,0.0016,0.03581737738726475,0.0,0.0,False,1.0,0.0,1.0,0.0
54,13895,high_dynamic_chicane_l56__long_delay_seen,224,89.89901020966252,True,False,0.22311714172320293,13895,uniform,disabled,configured_initial,1.0,1.0,0.0,224,0.17351127760810078,0.030106163457195415,0.0016,0.028506163457195415,0.0,0.0,False,1.0,0.0,1.0,0.0
55,14129,high_dynamic_accel_turn_l56__long_delay_seen,234,89.2859669266769,True,False,0.2488947838579992,14129,uniform,disabled,configured_initial,1.0,1.0,0.0,234,0.20240705179796076,0.040968614617542365,0.0016,0.03936861461754237,0.0,0.0,False,1.0,0.0,1.0,0.0
56,14278,high_dynamic_accel_straight_l56__high_mass_seen,149,85.87758199791728,True,False,0.245743197420817,14278,uniform,disabled,configured_initial,1.0,1.0,0.0,149,0.1874548463573619,0.03513931942286215,0.0016,0.03353931942286215,0.0,0.0,False,1.0,0.0,1.0,0.0
57,14492,high_dynamic_accel_turn_l56__long_delay_seen,214,100.80664381614095,True,False,0.24614809057424344,14492,uniform,disabled,configured_initial,1.0,1.0,0.0,214,0.163723072275241,0.026805244395243785,0.0016,0.025205244395243784,0.0,0.0,False,1.0,0.0,1.0,0.0
58,14701,high_dynamic_chicane_l56__long_delay_seen,209,94.73514595676562,True,False,0.23906550105626914,14701,uniform,disabled,configured_initial,1.0,1.0,0.0,209,0.15722159305991015,0.024718629324295992,0.0016,0.02311862932429599,0.0,0.0,False,1.0,0.0,1.0,0.0
59,14901,high_dynamic_chicane_l56__long_delay_seen,200,94.65432954540469,True,False,0.24085623026660988,14901,uniform,disabled,configured_initial,1.0,1.0,0.0,200,0.1637513833917161,0.026814515562700793,0.0016,0.025214515562700792,0.0,0.0,False,1.0,0.0,1.0,0.0
60,15101,high_dynamic_chicane_l56__high_mass_seen,200,99.9015518377717,True,False,0.23123431417115242,15101,uniform,disabled,configured_initial,1.0,1.0,0.0,200,0.13736616590612877,0.018869463535750097,0.0016,0.017269463535750096,0.0,0.0,False,1.0,0.0,1.0,0.0
61,15323,high_dynamic_accel_turn_l56__high_mass_seen,222,92.44151176450049,True,False,0.24389091674149613,15323,uniform,disabled,configured_initial,1.0,1.0,0.0,222,0.19306649276267682,0.037274670627680744,0.0016,0.035674670627680746,0.0,0.0,False,1.0,0.0,1.0,0.0
62,15570,high_dynamic_accel_turn_l56__high_mass_seen,247,97.55912902928947,True,False,0.2468387567220249,15570,uniform,disabled,configured_initial,1.0,1.0,0.0,247,0.16316985394822336,0.02662440123748455,0.0016,0.025024401237484548,0.0,0.0,False,1.0,0.0,1.0,0.0
63,15718,high_dynamic_accel_straight_l56__nominal_seen,148,89.83674064519317,True,False,0.236450212993005,15718,uniform,disabled,configured_initial,1.0,1.0,0.0,148,0.16476480310788438,0.02714744034317991,0.0016,0.02554744034317991,0.0,0.0,False,1.0,0.0,1.0,0.0
64,15948,high_dynamic_accel_turn_l56__nominal_seen,230,93.28106034114967,True,False,0.24974506320745868,15948,uniform,disabled,configured_initial,1.0,1.0,0.0,230,0.18759744698468536,0.03519280211517183,0.0016,0.033592802115171835,0.0,0.0,False,1.0,0.0,1.0,0.0
65,16176,high_dynamic_accel_turn_l56__high_mass_seen,228,96.14598080074973,True,False,0.24697306159070978,16176,uniform,disabled,configured_initial,1.0,1.0,0.0,228,0.17687578602946905,0.03128504368354252,0.0016,0.02968504368354252,0.0,0.0,False,1.0,0.0,1.0,0.0
66,16373,high_dynamic_chicane_l56__high_mass_seen,197,98.68030478037821,True,False,0.22580444609586983,16373,uniform,disabled,configured_initial,1.0,1.0,0.0,197,0.14173920568640105,0.020090002428611906,0.0016,0.018490002428611905,0.0,0.0,False,1.0,0.0,1.0,0.0
67,16537,high_dynamic_sweep_l56__high_mass_seen,164,95.03809020132599,True,False,0.2176857989100459,16537,uniform,disabled,configured_initial,1.0,1.0,0.0,164,0.12922575865710298,0.016699296700503824,0.0016,0.015099296700503823,0.0,0.0,False,1.0,0.0,1.0,0.0
68,16700,high_dynamic_sweep_l56__high_mass_seen,163,96.05566908425169,True,False,0.23666802593405842,16700,uniform,disabled,configured_initial,1.0,1.0,0.0,163,0.11577608513250003,0.013404101888607894,0.0016,0.011804101888607893,0.0,0.0,False,1.0,0.0,1.0,0.0
69,16912,high_dynamic_accel_turn_l56__nominal_seen,212,100.00939211866807,True,False,0.2432760229517238,16912,uniform,disabled,configured_initial,1.0,1.0,0.0,212,0.16627781808987227,0.02764831278872865,0.0016,0.02604831278872865,0.0,0.0,False,1.0,0.0,1.0,0.0
70,17103,high_dynamic_chicane_l56__nominal_seen,191,101.94400511344922,True,False,0.23135934682181655,17103,uniform,disabled,configured_initial,1.0,1.0,0.0,191,0.12836807171413953,0.016478361835606466,0.0016,0.014878361835606466,0.0,0.0,False,1.0,0.0,1.0,0.0
71,17314,high_dynamic_accel_turn_l56__low_friction_seen,211,99.249162202969,True,False,0.2484616824300096,17314,uniform,disabled,configured_initial,1.0,1.0,0.0,211,0.17344075374808754,0.030081695060704742,0.0016,0.02848169506070474,0.0,0.0,False,1.0,0.0,1.0,0.0
72,17458,high_dynamic_accel_straight_l56__high_mass_seen,144,94.1025795451612,True,False,0.24974081318559746,17458,uniform,disabled,configured_initial,1.0,1.0,0.0,144,0.11981536148343458,0.014355720847406099,0.0016,0.012755720847406098,0.0,0.0,False,1.0,0.0,1.0,0.0
73,17669,high_dynamic_accel_turn_l56__nominal_seen,211,96.92402951677238,True,False,0.2484154691328625,17669,uniform,disabled,configured_initial,1.0,1.0,0.0,211,0.18080413949848176,0.03269013685978645,0.0016,0.03109013685978645,0.0,0.0,False,1.0,0.0,1.0,0.0
