benchmark_arm,scene,physics_domain,episodes,independent_seeds,success_mean,collision_mean,steps_mean,final_goal_distance_mean,trajectory_length_mean,minimum_clearance_mean,stuck_steps_mean,spin_steps_mean,mean_abs_omega_mean,control_jerk_mean,planner_compute_ms_mean_mean,planner_compute_ms_p95_mean,planner_compute_ms_max_mean,paper_total_rollouts_mean_mean
value_fixed,narrow_corridor,combined_unseen,10,10,1.0,0.0,441.4,0.2979965596052377,6.4323231442121225,0.31314733066474637,112.4,5.7,0.15577277467039724,0.06251866122911849,178.2129509129916,223.32364819099894,264.46986920491327,100.0
value_fixed,narrow_corridor,nominal_seen,10,10,1.0,0.0,432.9,0.29785889639961505,6.366217482957796,0.3086772008142485,112.2,4.7,0.14891043163762036,0.06254747770443106,169.15469100021238,200.91093136245036,233.9565562957432,100.0
value_fixed,u_trap_long_board,combined_unseen,10,10,1.0,0.0,494.6,0.29905578610758893,7.167564089283471,0.3898477070500978,140.3,4.8,0.2030585138937102,0.0715302118369785,180.0092111428358,236.43045834469376,288.0028970015701,100.0
value_fixed,u_trap_long_board,nominal_seen,10,10,1.0,0.0,530.6,0.2993860398760958,7.124631668693569,0.3746991667365835,168.8,2.2,0.19385708369291063,0.06859682641078711,179.44649371265177,228.69766785777756,294.58811169606633,100.0
ordinary_adaptive,lab_complex,combined_unseen,10,10,1.0,0.0,368.7,0.2967992146225625,6.952605428781946,0.3851911753434639,34.7,8.1,0.25325687120708107,0.092790190946363,212.57260341654631,260.26255963908625,313.6751360987546,100.0
ordinary_adaptive,lab_complex,nominal_seen,10,10,1.0,0.0,365.9,0.296058867091228,6.854305604884982,0.37335856539760626,35.4,5.8,0.2377406345957434,0.09361586049740828,232.96919503529435,300.52308752943645,359.6804734057514,100.0
ordinary_adaptive,narrow_corridor,combined_unseen,10,10,1.0,0.0,398.0,0.2983512476192452,6.349374559948999,0.3099051275699333,80.3,6.7,0.16534564583751177,0.06863768537441814,185.4928295479589,237.5341470359126,280.5391190981027,100.0
ordinary_adaptive,narrow_corridor,nominal_seen,10,10,1.0,0.0,382.2,0.2961332943025431,6.225407688386797,0.28875304590398193,63.4,2.7,0.1599810191436897,0.07401438972759651,175.42043552981636,209.78691994809196,240.44647890259512,100.0
ordinary_adaptive,u_trap_long_board,combined_unseen,10,10,1.0,0.0,513.0,0.2989990028809568,7.088975461649346,0.34288089191569354,158.6,4.1,0.18636063566710423,0.07194424446198591,185.1890298039053,234.66872161705396,331.5945855953032,100.0
ordinary_adaptive,u_trap_long_board,nominal_seen,10,10,1.0,0.0,478.4,0.29952410202259017,6.945039525576405,0.3168480090435445,129.5,2.4,0.18687287209768794,0.07519456335400218,187.96127120897398,238.7684368736518,310.5116090970114,100.0
full_proposed,lab_complex,combined_unseen,10,10,1.0,0.0,358.0,0.29674758720071875,6.867813827657019,0.3720449551791891,34.3,8.8,0.2506707569535346,0.09309724456821182,198.22633566702487,233.3800989120209,273.25601240154356,100.0
full_proposed,lab_complex,nominal_seen,10,10,1.0,0.0,355.3,0.2964504517196954,6.810899318894771,0.3590509796809995,30.6,6.0,0.24873255871386685,0.09391204808945826,234.36342884576032,300.742828668881,347.2962608997477,100.0
