episode,global_step,scene,length,return,success,collision,goal_distance,replay_size,curriculum_phase,initial_state_phase,initial_state_name,rl_gate_alpha_mean,distance_gate_alpha_mean,intrinsic_exploration_return,replay_labeled_transitions,cross_track_rmse,precision_constraint_cost_mean_square,precision_constraint_target_mean_square,precision_constraint_violation,precision_constraint_multiplier_before,precision_constraint_multiplier,precision_constraint_feasible,covariance_scale_0_mean,covariance_scale_0_std,covariance_scale_1_mean,covariance_scale_1_std
42,9452,high_dynamic_accel_turn_l56__low_friction_seen,171,96.7439176392736,True,False,0.24919127747420952,9452,uniform,disabled,configured_initial,1.0,1.0,0.0,171,0.21111441741058273,0.04456929723860976,0.0016,0.04296929723860976,0.0,0.0,False,1.0,0.0,1.0,0.0
43,9619,high_dynamic_chicane_l56__high_mass_seen,167,86.54277128334333,True,False,0.2376197262316675,9619,uniform,disabled,configured_initial,1.0,1.0,0.0,167,0.22131000319151944,0.04897811751263034,0.0016,0.047378117512630345,0.0,0.0,False,1.0,0.0,1.0,0.0
44,9763,high_dynamic_sweep_l56__nominal_seen,144,99.84453493975278,True,False,0.21471305320022283,9763,uniform,disabled,configured_initial,1.0,1.0,0.0,144,0.08861204613518228,0.007852094720263672,0.0016,0.006252094720263672,0.0,0.0,False,1.0,0.0,1.0,0.0
45,9906,high_dynamic_sweep_l56__nominal_seen,143,97.97007706668728,True,False,0.24211345813638044,9906,uniform,disabled,configured_initial,1.0,1.0,0.0,143,0.11317481727035024,0.012808539264177167,0.0016,0.011208539264177166,0.0,0.0,False,1.0,0.0,1.0,0.0
46,10090,high_dynamic_accel_turn_l56__long_delay_seen,184,96.32865581035024,True,False,0.20748966400117422,10090,uniform,disabled,configured_initial,1.0,1.0,0.0,184,0.21033958983706347,0.04424274305282409,0.0016,0.042642743052824096,0.0,0.0,False,1.0,0.0,1.0,0.0
47,10258,high_dynamic_chicane_l56__high_mass_seen,168,87.868663983978,True,False,0.23297397787927873,10258,uniform,disabled,configured_initial,1.0,1.0,0.0,168,0.21376405907487142,0.045695072952165114,0.0016,0.04409507295216512,0.0,0.0,False,1.0,0.0,1.0,0.0
48,10433,high_dynamic_chicane_l56__high_mass_seen,175,86.31869003289076,True,False,0.23099695595126463,10433,uniform,disabled,configured_initial,1.0,1.0,0.0,175,0.22504690822596646,0.05064611090206657,0.0016,0.04904611090206657,0.0,0.0,False,1.0,0.0,1.0,0.0
49,10574,high_dynamic_sweep_l56__nominal_seen,141,94.66277052492666,True,False,0.24320856268061938,10574,uniform,disabled,configured_initial,1.0,1.0,0.0,141,0.14358526029341004,0.020616726973526317,0.0016,0.019016726973526316,0.0,0.0,False,1.0,0.0,1.0,0.0
50,10709,high_dynamic_sweep_l56__high_mass_seen,135,97.02131234920994,True,False,0.24016088980072542,10709,uniform,disabled,configured_initial,1.0,1.0,0.0,135,0.12493742267539941,0.015609359584771408,0.0016,0.014009359584771407,0.0,0.0,False,1.0,0.0,1.0,0.0
51,10848,high_dynamic_sweep_l56__nominal_seen,139,92.222089587619,True,False,0.2464440577156278,10848,uniform,disabled,configured_initial,1.0,1.0,0.0,139,0.16710591371026717,0.027924386396943255,0.0016,0.026324386396943254,0.0,0.0,False,1.0,0.0,1.0,0.0
52,10983,high_dynamic_accel_straight_l56__low_friction_seen,135,96.77894782569949,True,False,0.2328881412753962,10983,uniform,disabled,configured_initial,1.0,1.0,0.0,135,0.0992420715759743,0.009848988770690806,0.0016,0.008248988770690805,0.0,0.0,False,1.0,0.0,1.0,0.0
53,11161,high_dynamic_accel_turn_l56__nominal_seen,178,92.66181216796704,True,False,0.23391043241859732,11161,uniform,disabled,configured_initial,1.0,1.0,0.0,178,0.2296436742122832,0.05273621710571727,0.0016,0.05113621710571727,0.0,0.0,False,1.0,0.0,1.0,0.0
54,11355,high_dynamic_chicane_l56__long_delay_seen,194,74.51021114345116,True,False,0.24915875183841488,11355,uniform,disabled,configured_initial,1.0,1.0,0.0,194,0.24790107383360654,0.06145494240785524,0.0016,0.059854942407855244,0.0,0.0,False,1.0,0.0,1.0,0.0
55,11554,high_dynamic_chicane_l56__low_friction_seen,199,75.79864864727705,True,False,0.24148068338882941,11554,uniform,disabled,configured_initial,1.0,1.0,0.0,199,0.24859199715176614,0.061797981047903704,0.0016,0.060197981047903706,0.0,0.0,False,1.0,0.0,1.0,0.0
56,11690,high_dynamic_sweep_l56__high_mass_seen,136,94.21865507237862,True,False,0.22404230148952267,11690,uniform,disabled,configured_initial,1.0,1.0,0.0,136,0.1537152152958573,0.023628367413451763,0.0016,0.022028367413451762,0.0,0.0,False,1.0,0.0,1.0,0.0
57,11875,high_dynamic_chicane_l56__long_delay_seen,185,85.42361354371651,True,False,0.2335248623260149,11875,uniform,disabled,configured_initial,1.0,1.0,0.0,185,0.21909600570884907,0.04800305971757202,0.0016,0.046403059717572026,0.0,0.0,False,1.0,0.0,1.0,0.0
58,11999,high_dynamic_accel_straight_l56__high_mass_seen,124,99.52132811457226,True,False,0.24939706491209213,11999,uniform,disabled,configured_initial,1.0,1.0,0.0,124,0.07833948620271687,0.006137075098505667,0.0016,0.004537075098505667,0.0,0.0,False,1.0,0.0,1.0,0.0
59,12217,high_dynamic_chicane_l56__high_mass_seen,218,80.71877310401919,True,False,0.23258370465099715,12217,uniform,disabled,configured_initial,1.0,1.0,0.0,218,0.2199326909562916,0.048370388551275664,0.0016,0.04677038855127567,0.0,0.0,False,1.0,0.0,1.0,0.0
60,12358,high_dynamic_sweep_l56__nominal_seen,141,94.96217884948008,True,False,0.23551995570298342,12358,uniform,disabled,configured_initial,1.0,1.0,0.0,141,0.14979290852957344,0.022437915445749156,0.0016,0.020837915445749155,0.0,0.0,False,1.0,0.0,1.0,0.0
61,12485,high_dynamic_accel_straight_l56__high_mass_seen,127,99.06338068465118,True,False,0.22894474248374416,12485,uniform,disabled,configured_initial,1.0,1.0,0.0,127,0.08222413224428929,0.006760807923326374,0.0016,0.0051608079233263745,0.0,0.0,False,1.0,0.0,1.0,0.0
