confirmatory_holm_family,effect,effect_scale,endpoint,holm_adjusted_p_three_contrasts,mean_favorable_effect,median_favorable_effect,n,split,whole_seed_bootstrap_mean_95ci,wilcoxon_two_sided_p
False,learning_by_probability_interaction,positive_is_favorable,safe_success,0.0005554827806763256,0.16111111111111112,0.0,180,ood,"[0.07777777777777778, 0.25]",0.0005554827806763256
False,learning_main,positive_is_favorable,collision_free,0.9695721586920905,0.005555555555555556,0.0,180,ood,"[-0.03333333333333333, 0.044444444444444446]",0.9695721586920905
False,probability_main,positive_is_favorable,collision_free,0.07426664348927597,0.06111111111111111,0.0,180,ood,"[0.011111111111111112, 0.1111111111111111]",0.024755547829758657
False,learning_by_probability_interaction,positive_is_favorable,collision_free,0.10012188770487364,-0.07777777777777778,0.0,180,ood,"[-0.15555555555555556, 0.0]",0.05006094385243682
False,learning_main,positive_is_favorable,failure_penalized_steps,6.436247474102816e-19,18.705555555555556,21.75,180,ood,"[15.566666666666666, 21.772222222222222]",6.436247474102816e-19
False,probability_main,positive_is_favorable,failure_penalized_steps,4.9307989476661364e-27,-37.87777777777778,-40.5,180,ood,"[-42.01111111111111, -33.733333333333334]",1.6435996492220453e-27
False,learning_by_probability_interaction,positive_is_favorable,failure_penalized_steps,8.328617260067877e-23,49.94444444444444,60.5,180,ood,"[43.105555555555554, 56.638888888888886]",4.1643086300339384e-23
False,learning_main,positive_is_favorable,final_goal_distance,0.012424473372822369,0.09763179359352477,0.0028945520326153357,180,ood,"[-0.0741821606006771, 0.2759682695769423]",0.012424473372822369
False,probability_main,positive_is_favorable,final_goal_distance,0.00047477061521736355,-0.024355630689070176,-0.005380277274905698,180,ood,"[-0.23325657269173547, 0.183507920781824]",0.00023738530760868178
False,learning_by_probability_interaction,positive_is_favorable,final_goal_distance,0.0004471721874282411,-0.0007794826221617375,0.011496133740670711,180,ood,"[-0.3171478070791753, 0.3124536016592358]",0.0001490573958094137
False,learning_main,positive_is_favorable,path_progress_m_max,0.17937695344383742,0.0788615787860154,-0.021004242445287424,180,ood,"[-0.0851343808648976, 0.24898022660898092]",0.08968847672191871
False,probability_main,positive_is_favorable,path_progress_m_max,0.17937695344383742,0.038345698194271804,0.01923985436834519,180,ood,"[-0.16472923524684116, 0.24162693105209554]",0.10132258323247709
False,learning_by_probability_interaction,positive_is_favorable,path_progress_m_max,0.031935513458631104,-0.0703149024715551,-0.04206282760809188,180,ood,"[-0.36919374671388605, 0.2237439858452806]",0.010645171152877036
False,learning_main,positive_is_favorable,minimum_clearance,0.23916605290770143,-0.007717930192913103,2.216592958931285e-05,180,ood,"[-0.021032254034158544, 0.005772401483882711]",0.23916605290770143
False,probability_main,positive_is_favorable,minimum_clearance,1.1215086870143157e-11,0.06031501023977438,0.03379194512425179,180,ood,"[0.041878342875578775, 0.07906684467351445]",3.738362290047719e-12
False,learning_by_probability_interaction,positive_is_favorable,minimum_clearance,3.435926832852081e-08,-0.041600098157241534,-0.01735338730089503,180,ood,"[-0.06783233312345159, -0.015393203630440763]",1.7179634164260406e-08
False,learning_main,positive_is_favorable,conflict_q05_clearance,0.8169924178225376,-0.022091121814806523,0.0005418163990767583,180,ood,"[-0.04201762631481092, -0.002325479809916808]",0.8169924178225376
False,probability_main,positive_is_favorable,conflict_q05_clearance,8.595930677253709e-26,0.1267282238997167,0.04456633521501069,180,ood,"[0.10040880604509363, 0.15507849565437654]",2.8653102257512363e-26
False,learning_by_probability_interaction,positive_is_favorable,conflict_q05_clearance,1.2011420795907808e-14,-0.08446136423719434,-0.017082457431942838,180,ood,"[-0.12378468857837772, -0.04710771253816977]",6.005710397953904e-15
