ablation_block,applied_control_jerk,arm,block_order,boundary_violation,boundary_violation_steps,collision,collision_free,conflict_q05_clearance,conflict_q05_used_episode_fallback,conflict_traversal_censored,conflict_traversal_time_failure_penalized_s,conflict_window_sample_count,direction_switch_count,failure_penalized_steps,final_goal_distance,minimum_clearance,model_block,path_progress_m_max,planner_compute_ms_p95_health_only,planner_deadline_miss_rate_health_only,premature_reverse_count,release_delay_censored_events,release_delay_event_count,release_delay_max_s,release_delay_mean_s,risk_or_raw_closing_steps,safe_success,seed,spin_steps,split,steps,stuck_steps,three_phase_oscillation_count,time_to_goal_s,trajectory_length,zero_speed_risk_fraction,zero_speed_risk_steps
False,0.04586027670105976,B10_learning_only,8,False,0,True,False,0.4262815353277446,False,True,40.0,78,2,400,2.370666375320444,-0.03174486285739475,0,6.431420917153614,464.8969499994564,1.0,1,0,0,0.0,0.0,0,False,740300294,4,ood,251,15,0,,7.114900124873792,0.0,0
False,0.09997151774724143,B01_probability_only,8,False,0,True,False,0.42713623313038246,False,True,40.0,78,3,400,6.339868306321941,-0.01674157350246075,0,2.877721505248825,40.05333499990229,0.0,0,0,2,0.7000000000000006,0.4499999999999895,71,False,740300294,3,ood,184,55,0,,3.6073104633546103,0.43661971830985913,31
False,0.0644138107134929,B00_strong_nominal_mppi,8,False,0,True,False,0.23786110675338784,False,True,40.0,78,0,400,2.0738455114446364,-0.03542769341193103,0,6.727775423099443,9.806105001553078,0.0,0,0,0,0.0,0.0,0,False,740300294,5,ood,254,14,0,,6.893830033136669,0.0,0
False,0.06600523474307947,B11_full_proposed,8,False,0,True,False,0.4271244196742668,False,True,40.0,78,2,400,3.5716815057471525,-0.015516978424358618,0,5.231195193715557,494.6872500004247,1.0,0,0,3,0.9000000000000006,0.4333333333332894,76,False,740300294,4,ood,239,40,0,,5.790168688552339,0.18421052631578946,14
False,0.0237123021995578,B10_learning_only,9,False,0,False,True,0.3304959094795424,False,False,6.6999999999994735,34,0,302,0.28306722868835654,0.3276338723725587,2,8.518458776558468,465.1857150007345,1.0,0,0,0,0.0,0.0,0,True,740200053,9,id,302,25,0,30.19999999999414,8.54251487864378,0.0,0
False,0.028029502333640162,B11_full_proposed,9,False,0,False,True,0.3790866244076908,False,False,6.7999999999994625,34,1,303,0.28577552409282714,0.37050239633596005,2,8.514400671279532,480.8794400018087,1.0,0,0,1,0.19999999999997797,0.19999999999997797,22,True,740200053,1,id,303,9,0,30.299999999994085,8.893492008405444,0.6363636363636364,14
False,0.022648946312674195,B00_strong_nominal_mppi,9,False,0,False,True,0.32042716500031554,False,False,6.1999999999995286,34,0,298,0.2940445166772704,0.31612367696265264,2,8.506315763894694,9.419949999391974,0.0,0,0,0,0.0,0.0,0,True,740200053,0,id,298,19,0,29.799999999994363,8.514291123153958,0.0,0
False,0.0621931649229633,B01_probability_only,9,False,0,False,True,0.36147913314773644,False,False,7.099999999999429,34,1,388,0.29277796059687566,0.3516472458252058,2,8.562294828485253,38.58067999808554,0.0,0,0,2,0.39999999999995595,0.29999999999996696,21,True,740200053,0,id,388,14,0,38.800000000001454,9.492240275795863,0.5714285714285714,12
True,0.022849723388463476,B00_strong_nominal_mppi,10,False,0,False,True,0.3207916801955128,False,False,6.4999999999994955,34,0,300,0.2854216615900298,0.31856735486406607,2,8.51459796494549,9.529904997361882,0.0,0,0,0,0.0,0.0,0,True,740200017,3,id,300,19,0,29.99999999999425,8.535088809601614,0.0,0
True,0.022492184599867925,B10_learning_only,10,False,0,False,True,0.323481222659101,False,False,6.9999999999994404,34,0,304,0.29785668278885336,0.32056658536617144,2,8.502449384522615,467.12303000167594,1.0,0,0,0,0.0,0.0,0,True,740200017,12,id,304,25,0,30.39999999999403,8.537220459705601,0.0,0
True,0.026112431091167735,B11_full_proposed,10,False,0,False,True,0.37090759996717504,False,False,6.7999999999994625,34,1,307,0.2873329285204758,0.3612972730212113,2,8.513308067815917,480.4014900004404,1.0,0,0,2,0.29999999999996696,0.24999999999997247,21,True,740200017,0,id,307,12,0,30.699999999993864,8.835373382254469,0.5714285714285714,12
True,0.026100582913114036,A_full_ordinary_imm,10,False,0,False,True,0.37090759996717504,False,False,6.7999999999994625,34,1,308,0.2849964139203226,0.3612972730212113,2,8.521025286659949,480.99813499920856,1.0,0,0,2,0.29999999999996696,0.24999999999997247,21,True,740200017,0,id,308,12,0,30.79999999999381,8.845549664090234,0.5714285714285714,12
True,0.027544217423572902,A_no_icode,10,False,0,False,True,0.37090759996717504,False,False,6.6999999999994735,34,1,307,0.2885199069663826,0.3612972730212113,2,8.511805039894927,110.48977999889757,0.758957654723127,0,0,2,0.4999999999999558,0.3499999999999669,20,True,740200017,0,id,307,12,0,30.699999999993864,8.812818577715877,0.5,10
