arm,endpoint,mean_or_rate,median,n,q25,q75,sd,split
B01_probability_only,conflict_traversal_time_failure_penalized_s,21.76472222222167,11.29999999999946,360,6.4999999999994955,40.0,16.155451486603766,pooled
B01_probability_only,zero_speed_risk_steps,17.830555555555556,12.0,360,10.0,23.25,14.450632884993283,pooled
B01_probability_only,planner_compute_ms_p95_health_only,33.669901930655016,32.93066749947684,360,32.41131499889889,34.71860500212642,2.090470150039666,pooled
B01_probability_only,planner_deadline_miss_rate_health_only,0.0,0.0,360,0.0,0.0,0.0,pooled
B11_full_proposed,safe_success,0.7916666666666666,,360,,,,pooled
B11_full_proposed,collision,0.1361111111111111,,360,,,,pooled
B11_full_proposed,boundary_violation,0.0,,360,,,,pooled
B11_full_proposed,failure_penalized_steps,339.74444444444447,323.5,360,303.0,382.25,40.28777017749111,pooled
B11_full_proposed,final_goal_distance,0.8405917667364144,0.2943756117349381,360,0.288446575725706,0.2992392892335981,1.471750303352182,pooled
B11_full_proposed,path_progress_m_max,8.019645729953908,8.508247116712262,360,8.502326687151408,8.51498460089455,1.36192509864176,pooled
B11_full_proposed,minimum_clearance,0.28462360672433346,0.351053526738759,360,0.2930895643728518,0.36082659997349376,0.14270048515323544,pooled
B11_full_proposed,conflict_q05_clearance,0.40860413282567626,0.3692248636403168,360,0.3548862211507007,0.4160101965723133,0.15803392374028166,pooled
B11_full_proposed,trajectory_length,8.727670555488826,8.852135501983863,360,8.759640419665896,9.314153384476842,1.377936591635526,pooled
B11_full_proposed,applied_control_jerk,0.04066188192884112,0.039089157388504284,360,0.026519195101049477,0.05102586093219463,0.01646040441480116,pooled
B11_full_proposed,stuck_steps,20.355555555555554,15.5,360,10.0,27.0,13.99746185596379,pooled
B11_full_proposed,spin_steps,3.3444444444444446,0.0,360,0.0,3.0,7.152397749172272,pooled
B11_full_proposed,direction_switch_count,1.663888888888889,1.0,360,1.0,2.0,1.2582104233847702,pooled
B11_full_proposed,three_phase_oscillation_count,0.07777777777777778,0.0,360,0.0,0.0,0.3871984304906661,pooled
B11_full_proposed,premature_reverse_count,0.016666666666666666,0.0,360,0.0,0.0,0.1281972713827098,pooled
